Rank,Country,Int$,Year
1,Qatar,"102,100",2013 est.
2,Luxembourg,"92,400",2014 est.
3,Liechtenstein,"89,400",2009 est.
-,Macau,"88,700",2013 est.
-,Bermuda,"86,000",2011 est.
-,Isle of Man,"83,100",2007 est.
4,Singapore,"81,300",2014 est.
5,Monaco,"78,700",2013 est.
6,Brunei,"77,700",2014 est.
7,Kuwait,"71,000",2014 est.
-,Sint Maarten,"66,800",2014 est.
8,Norway,"65,900",2014 est.
9,United Arab Emirates,"65,000",2014 est.
-,Jersey,"57,000",2005 est.
-,Falkland Islands,"55,400",2002 est.
10,Switzerland,"55,200",2014 est.
-,Hong Kong,"55,200",2014 est.
11,San Marino,"55,000",2013 est.
12,United States,"54,800",2014 est.
13,Saudi Arabia,"52,800",2014 est.
14,Bahrain,"51,400",2014 est.
15,Netherlands,"47,400",2014 est.
16,Ireland,"46,800",2014 est.
17,Australia,"46,600",2014 est.
18,Austria,"45,400",2014 est.
19,Sweden,"44,700",2014 est.
20,Germany,"44,700",2014 est.
-,Guernsey,"44,600",2005 est.
21,Canada,"44,500",2014 est.
22,Denmark,"44,300",2014 est.
23,Oman,"44,100",2014 est.
-,Cayman Islands,"43,800",2004 est.
24,Taiwan,"43,600",2014 est.
-,Gibraltar,"43,000",2008 est.
25,Iceland,"42,600",2014 est.
-,British Virgin Islands,"42,300",2010 est.
26,Belgium,"41,700",2014 est.
27,Finland,"40,500",2014 est.
28,France,"40,400",2014 est.
-,New Caledonia,"38,800",2012 est.
-,Greenland,"38,400",2008 est.
29,Japan,"37,800",2014 est.
30,United Kingdom,"37,700",2014 est.
31,Andorra,"37,200",2011 est.
-,US Virgin Islands,"36,100",2013 est.
32,South Korea,"35,400",2014 est.
33,New Zealand,"35,000",2014 est.
-,Saint Pierre and Miquelon,"34,900",2006 est.
34,Italy,"34,500",2014 est.
35,Israel,"33,400",2014 est.
36,Spain,"33,000",2014 est.
37,Equatorial Guinea,"32,600",2014 est.
38,Malta,"31,700",2014 est.
39,Trinidad and Tobago,"31,300",2014 est.
-,Faroe Islands,"30,500",2008 est.
-,Guam,"30,500",2013 est.
40,Slovenia,"29,400",2014 est.
-,Turks and Caicos Islands,"29,100",2007 est.
-,Puerto Rico,"28,500",2013 est.
41,Czech Republic,"29,900",2014 est.
42,Cyprus,"28,000",2014 est.
43,Slovakia,"27,700",2014 est.
44,Lithuania,"26,700",2014 est.
45,Estonia,"26,600",2014 est.
46,Portugal,"26,300",2014 est.
-,French Polynesia,"26,100",2012 est.
47,Greece,"25,800",2014 est.
