Country,2015 rank[23],2015 score[23],2014 rank[24],2014 score[24],2013 rank[25],2013 score[25],2012 rank[26][27],2012 score[26],2011 rank[27][28],2011 score[28],2010 rank[29],2010 score[29],2009 rank,2009 score,2008 rank,2008 score
Iceland,1,1.148,1,1.189,1,1.162,1,1.113,1,1.148,2,1.212,1,1.203,1,1.107
Denmark,2,1.150,2,1.193,2,1.207,2,1.239,4,1.289,7,1.341,6,1.263,5,1.238
Austria,3,1.198,3,1.200,4,1.250,6,1.328,6,1.337,4,1.290,3,1.240,10,1.291
New Zealand,4,1.221,4,1.236,3,1.237,2,1.239,2,1.279,1,1.188,2,1.227,2,1.190
Switzerland,5,1.275,5,1.258,5,1.272,10,1.349,16,1.421,18,1.424,11,1.349,4,1.234
Finland,6,1.277,6,1.297,7,1.297,9,1.348,7,1.352,9,1.352,7,1.297,7,1.273
Canada,7,1.287,7,1.306,8,1.306,4,1.317,8,1.355,14,1.392,9,1.324,6,1.264
Japan,8,1.323,8,1.316,6,1.293,5,1.326,3,1.287,3,1.247,4,1.243,3,1.230
Australia,9,1.329,15,1.414,16,1.438,22,1.494,18,1.455,19,1.467,19,1.440,16,1.421
Czech Republic,10,1.341,11,1.381,14,1.404,13,1.396,5,1.320,12,1.360,16,1.430,18,1.435
Portugal,11,1.344,18,1.425,18,1.467,16,1.470,17,1.453,13,1.366,15,1.426,14,1.385
Ireland,12,1.354,13,1.384,12,1.370,6,1.328,11,1.370,6,1.337,14,1.393,11,1.310
Sweden,13,1.360,11,1.381,9,1.319,14,1.419,13,1.401,10,1.354,5,1.253,8,1.282
Belgium,14,1.365,9,1.354,10,1.339,11,1.376,14,1.413,17,1.400,13,1.365,13,1.368
Slovenia,15,1.378,14,1.398,13,1.374,8,1.330,10,1.358,11,1.358,10,1.343,13,1.370
Germany,16,1.379,17,1.423,15,1.431,15,1.424,15,1.416,16,1.398,17,1.443,15,1.406
Norway,17,1.393,10,1.371,11,1.359,18,1.480,9,1.356,5,1.322,8,1.324,9,1.288
Bhutan,18,1.416,16,1.422,20,1.487,19,1.481,34,1.693,36,1.665,43,1.722,19,1.440
Poland,19,1.430,23,1.532,25,1.530,24,1.524,22,1.545,29,1.618,28,1.597,33,1.610
Netherlands,20,1.432,20,1.475,22,1.508,28,1.606,25,1.628,27,1.610,29,1.609,28,1.555
Spain,21,1.451,26,1.548,27,1.563,25,1.548,28,1.641,25,1.588,32,1.640,27,1.550
Hungary,22,1.463,21,1.482,23,1.520,17,1.476,20,1.495,20,1.495,25,1.574,20,1.452
Slovakia,23,1.478,19,1.467,33,1.622,26,1.590,23,1.576,21,1.536,23,1.532,25,1.533
Singapore,24,1.490,25,1.545,16,1.438,23,1.521,24,1.585,30,1.624,18,1.439,21,1.465
Mauritius,25,1.503,24,1.544,21,1.497,21,1.487,,,,,,,,
Romania,26,1.542,35,1.677,30,1.584,32,1.627,40,1.742,45,1.749,26,1.580,26,1.537
Croatia,27,1.550,26,1.548,28,1.571,35,1.648,37,1.699,41,1.707,40,1.669,52,1.760
